FTL_Bronze_Column,FTL_Data_Type,PI_Silver_Column,PI_Silver_Table,PI_Gold_Column,PI_Gold_Table,Classification,Confidence,Mapping_Reason,BR_ID,GAP_ID,Transformation,Notes
ZCC_ACCOUNT_ID,TEXT,—,—,—,—,NEW_CAPABILITY,High,FTL provides ZCC_ACCOUNT_ID not present in any PI table — confirmed via schema analysis,—,—,None,Available for future use
ACCOUNT_ID,TEXT,ACCOUNT_ID,SLV_ACCT_FIRST_ACTIVE,—,—,DIRECT_MATCH,High,Exact column name match — primary account identifier,BR-009,—,None,Core dimension
ACCOUNT_ID,TEXT,ACCOUNT_ID,SLV_COMBINED_CHANNELS,—,—,DIRECT_MATCH,High,Exact column name match — primary account identifier,BR-009,—,None,Core dimension
ACCOUNT_ID,TEXT,ACCOUNT_ID,SLV_CONSOLIDATED_USAGE,—,GLD_AGGREGATE (via agg),DIRECT_MATCH,High,Exact column name match — aggregated for Gold,BR-007,—,COUNT(DISTINCT ACCOUNT_ID) WHERE IS_ACTIVE,Aggregation for Gold
ACCOUNT_ID,TEXT,ACCOUNT_ID,SLV_DAILY_METRICS,—,—,DIRECT_MATCH,High,Exact column name match — primary account identifier,BR-009,—,None,Core dimension
ACCOUNT_ID,TEXT,ACCOUNT_ID,SLV_MONTHLY_METRICS,—,—,DIRECT_MATCH,High,Exact column name match — primary account identifier,BR-009,—,None,Core dimension
ACCOUNT_ID,TEXT,ACCOUNT_ID,SLV_ROLL_29_DAY_USAGE,—,—,DIRECT_MATCH,High,Exact column name match — primary account identifier,BR-009,—,None,Core dimension
ACCOUNT_ID,TEXT,ACCOUNT_ID,SLV_USAGE_MASTER,—,—,DIRECT_MATCH,High,Exact column name match — primary account identifier,BR-009,—,None,Core dimension
ACCOUNT_ID,TEXT,ACCOUNT_ID,SLV_USER_ACTIVE_DAYS,—,—,DIRECT_MATCH,High,Exact column name match — primary account identifier,BR-009,—,None,Core dimension
ACCOUNT_ID,TEXT,ACCOUNT_ID,SLV_USER_FIRST_ACTIVE,—,—,DIRECT_MATCH,High,Exact column name match — primary account identifier,BR-009,—,None,Core dimension
ACCOUNT_ID,TEXT,ACCOUNT_ID,SLV_WEEKLY_METRICS,—,—,DIRECT_MATCH,High,Exact column name match — primary account identifier,BR-009,—,None,Core dimension
ENGAGEMENT_ID,TEXT,ENGAGEMENT_ID,SLV_COMBINED_CHANNELS,—,—,DIRECT_MATCH,High,Exact column name match — engagement tracking identifier,BR-009,—,None,Transaction ID
AGENT_ID,TEXT,USER_ID,SLV_COMBINED_CHANNELS,—,—,SEMANTIC_MATCH,Medium,FTL AGENT_ID maps to PI USER_ID — agent represents user in business context,BR-004,—,AGENT_ID as USER_ID,Semantic mapping
AGENT_ID,TEXT,USER_ID,SLV_ROLL_29_DAY_USAGE,—,—,SEMANTIC_MATCH,Medium,FTL AGENT_ID maps to PI USER_ID — agent represents user in business context,BR-004,—,AGENT_ID as USER_ID,Semantic mapping
AGENT_ID,TEXT,USER_ID,SLV_USAGE_MASTER,—,—,SEMANTIC_MATCH,Medium,FTL AGENT_ID maps to PI USER_ID — agent represents user in business context,BR-004,—,AGENT_ID as USER_ID,Semantic mapping
